emp_id,name,hire_date,employment_type,country,jurisdiction,role,base_monthly_pay,flsa_status,ot_eligible,department,is_ghost,birth_date
EMP-00036,Elijah Harris,2019-11-02,full_time,USA,IL,HR_Specialist,6514,nonexempt,True,Sales,False,1996-06-01
EMP-00037,Charlotte Johnson,2019-08-09,full_time,USA,CA,Operations_Manager,5570,exempt,False,Sales,False,2001-09-18
EMP-00038,Mateo Parker,2018-01-26,full_time,USA,WA,Sales_Representative,12793,nonexempt,True,Sales,False,1977-11-14
EMP-00039,Taylor Kumar,2019-09-13,full_time,USA,CA,HR_Specialist,11747,nonexempt,True,Operations,False,1966-03-20
EMP-00040,Morgan Mitchell,2020-05-31,full_time,USA,CA,Software_Engineer,5274,exempt,False,Engineering,False,1981-10-14
EMP-00041,Charlotte Wilson,2023-11-10,full_time,USA,NY,Product_Manager,7059,exempt,False,Finance,False,1993-06-15
EMP-00042,Michael Edwards,2019-02-26,full_time,USA,NY,HR_Specialist,11953,nonexempt,True,Engineering,False,1984-07-22
EMP-00043,Daniel Brown,2023-04-02,full_time,USA,MA,Product_Manager,4209,exempt,False,Finance,False,1999-11-05
EMP-00044,Sofia Adams,2022-02-27,full_time,USA,IL,Analyst,3572,nonexempt,True,Engineering,False,1978-06-14
EMP-00045,Hannah Jackson,2023-06-26,full_time,USA,CA,Sales_Representative,11420,nonexempt,True,Finance,False,1974-09-19
EMP-00046,Mateo Davis,2019-06-05,full_time,USA,NY,Software_Engineer,7733,exempt,False,Operations,False,2002-08-01
EMP-00047,Joseph Taylor,2023-04-04,full_time,USA,MA,Operations_Manager,6830,exempt,False,Operations,False,1980-02-01
EMP-00048,Joseph Allen,2022-09-30,full_time,USA,NJ,Analyst,8585,nonexempt,True,Operations,False,1981-05-14
EMP-00049,Isaac Wilson,2018-02-22,full_time,USA,CA,Sales_Representative,4117,nonexempt,True,Engineering,False,1969-01-04
EMP-00050,Abigail Adams,2018-10-01,full_time,USA,FL,Sales_Representative,7701,nonexempt,True,Sales,False,1980-08-24
EMP-00051,Evelyn Kumar,2023-12-15,full_time,USA,TX,Analyst,10585,nonexempt,True,Sales,False,1989-05-06
EMP-00052,Emily Lee,2022-11-12,full_time,USA,MA,HR_Specialist,3908,nonexempt,True,Sales,False,1979-06-24
EMP-00053,Noah Adams,2023-01-06,full_time,USA,MA,Sales_Representative,11086,nonexempt,True,Finance,False,1990-03-05
EMP-00054,Abigail Kumar,2020-11-29,full_time,USA,MA,Analyst,11193,nonexempt,True,Finance,False,1996-06-24
EMP-00055,Ethan Carter,2020-07-25,full_time,USA,WA,Payroll_Administrator,13821,exempt,False,Operations,False,1994-09-01
EMP-00056,Abigail Roberts,2021-10-13,full_time,USA,CA,Software_Engineer,8506,exempt,False,Finance,False,2003-11-15
EMP-00057,Hannah Hill,2020-09-16,full_time,USA,CA,Payroll_Administrator,5756,exempt,False,Engineering,False,1990-03-22
EMP-00058,Owen Stewart,2019-02-16,full_time,USA,NJ,Sales_Representative,9276,nonexempt,True,HR,False,1970-01-04
EMP-00059,Kevin Morris,2022-09-08,full_time,USA,MA,Product_Manager,5263,exempt,False,HR,False,1971-02-02
EMP-00060,Jordan Young,2024-05-27,full_time,USA,NY,Operations_Manager,10569,exempt,False,Operations,False,1975-07-02
EMP-00061,Grace Carter,2023-12-14,full_time,USA,FL,HR_Specialist,4981,nonexempt,True,Operations,False,1966-09-23
EMP-00062,Michael Scott,2019-05-02,full_time,USA,NY,Software_Engineer,10184,exempt,False,Finance,False,1995-06-04
EMP-00063,Alexander Thomas,2023-03-02,full_time,USA,MA,Operations_Manager,3940,exempt,False,Engineering,False,1984-07-09
EMP-00064,Aiden Harris,2018-08-15,full_time,USA,WA,Payroll_Administrator,10915,exempt,False,Operations,False,1972-08-18
EMP-00065,Emma Anderson,2021-02-24,full_time,USA,CA,Product_Manager,8587,exempt,False,Engineering,False,1981-11-01
EMP-00066,Samuel Hill,2023-03-24,full_time,USA,FL,Payroll_Administrator,11399,exempt,False,Sales,False,1998-08-09
EMP-00067,James Campbell,2021-05-29,full_time,USA,FL,Payroll_Administrator,13420,exempt,False,Finance,False,1981-03-25
EMP-00068,Harper Lewis,2023-07-19,full_time,USA,MA,Analyst,12420,nonexempt,True,Engineering,False,1974-04-23
EMP-00069,Elijah Thompson,2022-03-25,full_time,USA,IL,Product_Manager,11414,exempt,False,Operations,False,1989-03-01
EMP-00070,Maya Moore,2018-09-21,full_time,USA,FL,Payroll_Administrator,5878,exempt,False,Engineering,False,1966-12-17
EMP-00071,Nora Roberts,2018-08-21,full_time,USA,NJ,Software_Engineer,11533,exempt,False,HR,False,1979-03-01
EMP-00072,Harper Harris,2023-01-12,full_time,USA,NJ,Software_Engineer,10357,exempt,False,Sales,False,2001-09-10
EMP-00073,Elijah Clark,2020-03-07,full_time,USA,NY,Software_Engineer,11203,exempt,False,HR,False,1983-11-30
EMP-00074,Owen Thomas,2024-10-08,full_time,USA,NJ,HR_Specialist,9103,nonexempt,True,HR,False,1993-05-10
EMP-00075,Evelyn Adams,2021-10-15,full_time,USA,CA,Payroll_Administrator,8511,exempt,False,Operations,False,1999-10-10
EMP-00076,Mateo Kumar,2019-05-11,full_time,USA,TX,Software_Engineer,6453,exempt,False,Finance,False,1986-06-25
EMP-00077,Isabella Lee,2018-05-07,full_time,USA,FL,Operations_Manager,9526,exempt,False,HR,False,1972-01-22
EMP-00078,Morgan Evans,2024-12-29,full_time,USA,NJ,Operations_Manager,4746,exempt,False,Sales,False,1967-07-04
EMP-00079,Aiden Nelson,2020-02-25,full_time,USA,CA,Operations_Manager,7276,exempt,False,Operations,False,1992-04-24
EMP-00080,Harper Jackson,2019-12-21,full_time,USA,TX,Analyst,9786,nonexempt,True,Operations,False,1977-10-02
EMP-00081,Zoe White,2021-01-27,full_time,USA,MA,HR_Specialist,8166,nonexempt,True,HR,False,1971-02-13
EMP-00082,Abigail Patel,2019-01-28,full_time,USA,MA,HR_Specialist,12723,nonexempt,True,Finance,False,1982-03-30
EMP-00083,Hannah Anderson,2024-01-17,full_time,USA,MA,Sales_Representative,6325,nonexempt,True,Sales,False,1979-07-10
EMP-00084,Michael Chen,2020-06-04,full_time,USA,WA,Analyst,4345,nonexempt,True,Sales,False,1982-05-17
EMP-00085,Chloe Roberts,2023-06-24,full_time,USA,MA,Operations_Manager,11623,exempt,False,Finance,False,2001-07-02
EMP-00086,Emily Harris,2018-11-26,full_time,USA,MA,Analyst,8383,nonexempt,True,Finance,False,1978-10-28
EMP-00087,Megan Mitchell,2018-11-19,full_time,USA,CA,Operations_Manager,8540,exempt,False,HR,False,1968-02-24
EMP-00088,Leah Allen,2023-09-25,full_time,USA,CA,Sales_Representative,11062,nonexempt,True,Finance,False,1986-11-03
EMP-00089,Kevin Martin,2023-06-08,full_time,USA,MA,Analyst,12540,nonexempt,True,HR,False,1978-10-18
EMP-00090,Harper Wilson,2020-12-31,full_time,USA,WA,Operations_Manager,4786,exempt,False,Operations,False,1983-10-09
EMP-00091,Emily Harris,2024-12-17,full_time,USA,TX,Analyst,5090,nonexempt,True,Operations,False,1972-12-23
EMP-00092,Leah Harris,2022-01-24,full_time,USA,CA,HR_Specialist,7161,nonexempt,True,Engineering,False,1973-10-13
EMP-00093,Henry Brown,2022-04-16,full_time,USA,IL,Software_Engineer,3782,exempt,False,Operations,False,1993-09-28
EMP-00094,Aiden Moore,2023-07-27,full_time,USA,NY,Software_Engineer,9156,exempt,False,Engineering,False,1990-09-13
EMP-00095,Ethan White,2020-02-02,full_time,USA,CA,Sales_Representative,11884,nonexempt,True,Finance,False,1997-03-04
EMP-00096,Sofia Clark,2023-10-10,full_time,USA,MA,Product_Manager,11863,exempt,False,Operations,False,1990-01-26
EMP-00097,Morgan Morris,2024-06-23,full_time,USA,CA,Product_Manager,3773,exempt,False,HR,False,1992-08-09
EMP-00098,Michael Thomas,2018-08-19,full_time,USA,WA,Analyst,9952,nonexempt,True,HR,False,2001-10-15
EMP-00099,Nora Hall,2021-02-14,full_time,USA,TX,HR_Specialist,8099,nonexempt,True,Sales,False,1979-07-14
EMP-00100,Taylor Rogers,2022-01-07,full_time,USA,IL,Software_Engineer,13516,exempt,False,Finance,False,1999-12-06
EMP-00101,Layla Parker,2024-09-24,full_time,USA,MA,Payroll_Administrator,12565,exempt,False,Sales,False,1972-07-05
EMP-00102,Isabella Allen,2018-03-06,full_time,USA,TX,Analyst,9938,nonexempt,True,Operations,False,1980-06-24
EMP-00103,Ella Wright,2021-10-25,full_time,USA,NJ,Analyst,9828,nonexempt,True,Engineering,False,1979-05-11
EMP-00104,Joseph Mitchell,2023-05-04,full_time,USA,MA,Payroll_Administrator,9242,exempt,False,Sales,False,1977-03-17
EMP-00105,Mateo Anderson,2021-05-07,full_time,USA,NY,Analyst,9397,nonexempt,True,Finance,False,2003-10-23
EMP-00106,Benjamin Carter,2018-03-14,full_time,USA,WA,Sales_Representative,13294,nonexempt,True,Sales,False,2002-05-31
EMP-00107,Kevin Adams,2020-06-06,full_time,USA,FL,Sales_Representative,10093,nonexempt,True,Finance,False,1987-05-26
EMP-00108,Emma Lewis,2021-12-29,full_time,USA,IL,Payroll_Administrator,4446,exempt,False,Engineering,False,1996-07-18
EMP-00109,Layla Garcia,2021-01-02,full_time,USA,CA,Sales_Representative,3680,nonexempt,True,HR,False,1988-05-02
EMP-00110,Priya Perez,2023-06-27,full_time,USA,NJ,Operations_Manager,13636,exempt,False,Finance,False,2000-06-04
EMP-00111,Charlotte Lee,2018-08-26,full_time,USA,NY,Analyst,10783,nonexempt,True,Operations,False,1974-03-31
EMP-00112,Daniel Sanchez,2024-10-08,full_time,USA,CA,Payroll_Administrator,11409,exempt,False,Sales,False,1981-09-28
EMP-00113,Kevin Thompson,2020-08-02,full_time,USA,CA,Operations_Manager,7598,exempt,False,Sales,False,1992-04-30
EMP-00114,Charlotte Anderson,2018-10-02,full_time,USA,TX,Sales_Representative,5769,nonexempt,True,Sales,False,1991-11-04
EMP-00115,Victoria Williams,2021-05-31,full_time,USA,NY,Product_Manager,7506,exempt,False,HR,False,1967-02-11
EMP-00116,Charlotte Williams,2022-05-26,full_time,USA,TX,Product_Manager,8755,exempt,False,Operations,False,1976-05-14
EMP-00117,Maya Davis,2020-12-18,full_time,USA,IL,HR_Specialist,11689,nonexempt,True,Sales,False,1991-01-10
EMP-00118,Benjamin Allen,2021-10-30,full_time,USA,NJ,Product_Manager,10969,exempt,False,Operations,False,1985-09-11
EMP-00119,Henry Carter,2023-05-06,full_time,USA,MA,Payroll_Administrator,10693,exempt,False,Sales,False,1966-07-08
EMP-00120,Leah Martinez,2021-03-23,full_time,USA,NJ,Analyst,7462,nonexempt,True,HR,False,1974-01-18
EMP-00121,Charlotte Anderson,2019-03-13,full_time,USA,CA,Analyst,9432,nonexempt,True,Finance,False,1970-03-23
EMP-00122,Michael Mitchell,2023-11-19,full_time,USA,MA,Product_Manager,11643,exempt,False,HR,False,1999-11-05
EMP-00123,Daniel Patel,2019-08-26,full_time,USA,NJ,Software_Engineer,11513,exempt,False,Engineering,False,1995-07-22
EMP-00124,Layla White,2021-04-12,full_time,USA,TX,Software_Engineer,12885,exempt,False,HR,False,1997-12-20
EMP-00125,Abigail Green,2024-10-31,full_time,USA,MA,Software_Engineer,13615,exempt,False,HR,False,2002-12-30
EMP-00126,Taylor Young,2020-05-14,full_time,USA,MA,HR_Specialist,13355,nonexempt,True,Engineering,False,2000-12-24
EMP-00127,Amelia Turner,2023-03-10,full_time,USA,MA,Product_Manager,9666,exempt,False,HR,False,1988-04-11
EMP-00128,Henry Edwards,2021-12-22,full_time,USA,TX,Payroll_Administrator,5588,exempt,False,Sales,False,1986-08-31
EMP-00129,Noah Hall,2021-06-26,full_time,USA,FL,Operations_Manager,8878,exempt,False,Sales,False,1967-12-15
EMP-00130,Morgan Harris,2020-10-17,full_time,USA,CA,Analyst,10566,nonexempt,True,HR,False,2003-09-19
EMP-00131,David Clark,2024-12-22,full_time,USA,FL,Sales_Representative,12913,nonexempt,True,HR,False,1973-10-24
EMP-00132,Maya Harris,2018-07-03,full_time,USA,NY,Software_Engineer,5556,exempt,False,Sales,False,1979-07-18
EMP-00133,Sofia Thompson,2020-08-10,full_time,USA,CA,Operations_Manager,11968,exempt,False,Sales,False,1987-11-29
EMP-00134,Sebastian Phillips,2019-06-23,full_time,USA,IL,Software_Engineer,10554,exempt,False,HR,False,1977-06-16
EMP-00135,Ava Evans,2020-06-02,full_time,USA,IL,Product_Manager,4188,exempt,False,Engineering,False,1996-01-28
EMP-00136,Owen Harris,2018-12-29,full_time,USA,WA,Product_Manager,4249,exempt,False,Sales,False,1988-08-29
EMP-00137,Grace Clark,2018-04-28,full_time,USA,TX,Operations_Manager,10059,exempt,False,Engineering,False,1988-12-06
EMP-00138,Amelia Harris,2022-11-01,full_time,USA,WA,Operations_Manager,9487,exempt,False,Operations,False,1967-01-15
EMP-00139,Priya Perez,2019-10-21,full_time,USA,IL,HR_Specialist,8139,nonexempt,True,Engineering,False,2002-08-31
EMP-00140,Lucas Martinez,2024-11-24,full_time,USA,TX,Payroll_Administrator,8054,exempt,False,Engineering,False,1978-10-13
EMP-00141,Emily King,2019-02-23,full_time,USA,WA,Sales_Representative,9545,nonexempt,True,Engineering,False,1973-04-11
EMP-00142,Daniel Taylor,2024-01-08,full_time,USA,IL,Sales_Representative,4655,nonexempt,True,HR,False,1989-05-31
EMP-00143,Owen Green,2022-08-04,full_time,USA,TX,Software_Engineer,4241,exempt,False,Finance,False,1990-02-17
EMP-00144,Elijah Wright,2019-02-14,full_time,USA,MA,Analyst,4633,nonexempt,True,Operations,False,1978-04-11
EMP-00145,Olivia Young,2023-01-21,full_time,USA,TX,Sales_Representative,12618,nonexempt,True,Engineering,False,1980-09-23
EMP-00146,Isaac Garcia,2022-12-26,full_time,USA,TX,HR_Specialist,12906,nonexempt,True,Sales,False,1986-10-25
EMP-00147,Liam Stewart,2020-08-17,full_time,USA,TX,Operations_Manager,4407,exempt,False,Engineering,False,1981-02-27
EMP-00148,Chloe Harris,2023-11-25,full_time,USA,WA,Operations_Manager,13686,exempt,False,HR,False,1981-11-15
EMP-00149,Elijah Kumar,2021-10-20,full_time,USA,IL,Product_Manager,13532,exempt,False,Operations,False,1966-02-06
EMP-00150,Daniel Lewis,2021-08-12,full_time,USA,CA,Software_Engineer,13676,exempt,False,Finance,False,1970-08-29
EMP-00151,Sebastian Kumar,2020-03-02,full_time,USA,FL,Operations_Manager,12887,exempt,False,Sales,False,1988-10-24
EMP-00152,Taylor Rogers,2023-12-13,full_time,USA,NJ,Software_Engineer,10228,exempt,False,HR,False,1989-07-15
EMP-00153,Maya Mitchell,2018-10-05,full_time,USA,TX,HR_Specialist,5792,nonexempt,True,HR,False,1996-12-26
EMP-00154,Grace Patel,2021-08-05,full_time,USA,MA,Software_Engineer,8971,exempt,False,Sales,False,1990-03-17
EMP-00155,Liam Lee,2020-02-19,full_time,USA,FL,Product_Manager,3609,exempt,False,Engineering,False,1979-07-15
EMP-00156,Emily Hill,2020-06-13,full_time,USA,IL,HR_Specialist,9938,nonexempt,True,HR,False,1996-11-14
EMP-00157,Noah Hill,2023-04-18,full_time,USA,CA,Product_Manager,10859,exempt,False,Engineering,False,1971-01-01
EMP-00158,James Collins,2019-06-12,full_time,USA,IL,Analyst,4280,nonexempt,True,HR,False,1970-10-12
EMP-00159,Isabella Taylor,2018-09-21,full_time,USA,IL,Payroll_Administrator,9905,exempt,False,Engineering,False,1965-11-06
EMP-00160,Henry Brown,2020-03-10,full_time,USA,WA,Sales_Representative,8929,nonexempt,True,HR,False,1970-06-25
EMP-00161,Morgan King,2021-02-05,full_time,USA,CA,Software_Engineer,7673,exempt,False,HR,False,1988-11-04
EMP-00162,Benjamin Mitchell,2022-07-25,full_time,USA,WA,Payroll_Administrator,13323,exempt,False,Sales,False,1984-11-14
EMP-00163,Priya Harris,2019-11-19,full_time,USA,NY,Analyst,9708,nonexempt,True,HR,False,1973-02-22
EMP-00164,Grace Evans,2021-12-15,full_time,USA,NJ,HR_Specialist,12688,nonexempt,True,Operations,False,2002-03-05
EMP-00165,Ethan Campbell,2020-08-09,full_time,USA,MA,Product_Manager,5287,exempt,False,Finance,False,1978-05-10
EMP-00166,Chloe Garcia,2022-03-30,full_time,USA,FL,HR_Specialist,4138,nonexempt,True,HR,False,1986-05-25
EMP-00167,Evelyn Thompson,2020-03-12,full_time,USA,MA,HR_Specialist,8923,nonexempt,True,HR,False,1972-02-12
EMP-00168,Aiden Lee,2023-05-11,full_time,USA,CA,HR_Specialist,3986,nonexempt,True,Sales,False,1995-05-15
EMP-00169,Henry Smith,2018-04-30,full_time,USA,NJ,Payroll_Administrator,12766,exempt,False,HR,False,1988-04-22
EMP-00170,Zoe Thomas,2020-11-01,full_time,USA,CA,Payroll_Administrator,13316,exempt,False,Sales,False,1978-11-17
EMP-00171,Chloe Kumar,2019-08-19,full_time,USA,TX,Payroll_Administrator,8083,exempt,False,Sales,False,1987-12-02
EMP-00172,Harper Baker,2024-07-02,full_time,USA,NJ,Payroll_Administrator,10190,exempt,False,Finance,False,1979-07-16
EMP-00173,Emily Rogers,2018-08-05,full_time,USA,NY,Product_Manager,11920,exempt,False,HR,False,1984-06-20
EMP-00174,Allison Wilson,2018-11-01,full_time,USA,IL,HR_Specialist,11232,nonexempt,True,Sales,False,1995-12-14
EMP-00175,Michael Jackson,2018-08-27,full_time,USA,TX,Payroll_Administrator,12477,exempt,False,HR,False,1977-10-14
EMP-00176,Isaac Phillips,2020-07-29,full_time,USA,NJ,Software_Engineer,3695,exempt,False,Engineering,False,1996-07-20
EMP-00177,Joseph Campbell,2019-11-10,full_time,USA,FL,Payroll_Administrator,8156,exempt,False,Engineering,False,1967-07-10
EMP-00178,Allison Adams,2021-08-04,full_time,USA,MA,Operations_Manager,11000,exempt,False,Engineering,False,1980-05-29
EMP-00179,Lucas Lee,2022-12-13,full_time,USA,NY,Software_Engineer,4983,exempt,False,Engineering,False,1998-01-17
EMP-00180,Jack Hill,2018-06-13,full_time,USA,NJ,HR_Specialist,6037,nonexempt,True,Sales,False,1972-01-04
EMP-00181,Ella White,2024-01-02,full_time,USA,FL,Operations_Manager,5860,exempt,False,Finance,False,1967-02-16
EMP-00182,Liam Allen,2018-01-14,full_time,USA,WA,Payroll_Administrator,6481,exempt,False,Operations,False,1996-01-04
EMP-00183,Emma Chen,2023-03-22,full_time,USA,IL,Product_Manager,7634,exempt,False,Finance,False,1966-04-08
EMP-00184,Priya Kumar,2018-11-10,full_time,USA,CA,Product_Manager,6547,exempt,False,Sales,False,1974-05-29
EMP-00185,Jack Walker,2022-11-08,full_time,USA,CA,Operations_Manager,13550,exempt,False,Finance,False,1991-03-14
EMP-00186,Megan Thomas,2022-11-07,full_time,USA,IL,Analyst,10750,nonexempt,True,Finance,False,1982-02-13
EMP-00187,Alexander Green,2018-05-30,full_time,USA,FL,Analyst,9064,nonexempt,True,Finance,False,1967-07-06
EMP-00188,Henry Phillips,2021-03-15,full_time,USA,MA,Product_Manager,9905,exempt,False,HR,False,1982-12-07
EMP-00189,Emma Evans,2024-11-23,full_time,USA,WA,Operations_Manager,13212,exempt,False,Operations,False,1976-09-28
EMP-00190,Chloe Rogers,2018-11-07,full_time,USA,CA,HR_Specialist,7079,nonexempt,True,Engineering,False,1966-09-18
EMP-00191,Taylor Carter,2020-07-07,full_time,USA,WA,Sales_Representative,8627,nonexempt,True,HR,False,1993-01-01
EMP-00192,Hannah Anderson,2019-12-07,full_time,USA,NY,Sales_Representative,8161,nonexempt,True,HR,False,1997-06-15
EMP-00193,Amelia Sanchez,2020-08-13,full_time,USA,WA,Software_Engineer,6811,exempt,False,Sales,False,1976-10-02
EMP-00194,Jordan Carter,2024-02-11,full_time,USA,NY,Payroll_Administrator,10252,exempt,False,Operations,False,1993-12-03
EMP-00195,Michael Williams,2018-02-16,full_time,USA,TX,Product_Manager,5011,exempt,False,Operations,False,2003-07-02
EMP-00196,Daniel Harris,2023-02-25,full_time,USA,TX,Operations_Manager,9682,exempt,False,Engineering,False,1971-10-27
EMP-00197,Allison Harris,2024-08-29,full_time,USA,FL,Product_Manager,10002,exempt,False,Sales,True,1992-04-02
EMP-00198,Ella Jackson,2021-03-14,full_time,USA,TX,Sales_Representative,6303,nonexempt,True,Operations,False,1996-03-19
EMP-00199,James Edwards,2020-08-22,full_time,USA,FL,HR_Specialist,12001,nonexempt,True,Sales,False,1983-06-13
EMP-00200,Elijah Garcia,2019-01-01,full_time,USA,NJ,Sales_Representative,3862,nonexempt,True,Sales,False,1988-03-01
EMP-00201,Maya Adams,2022-03-22,full_time,USA,MA,Sales_Representative,5559,nonexempt,True,Finance,False,2000-11-17
EMP-00202,Michael Wright,2018-05-19,full_time,USA,IL,Operations_Manager,11479,exempt,False,HR,False,1965-09-13
EMP-00203,Victoria Collins,2018-10-01,full_time,USA,MA,HR_Specialist,8514,nonexempt,True,HR,False,1994-01-31
EMP-00204,Ethan Davis,2020-10-01,full_time,USA,WA,Operations_Manager,12377,exempt,False,HR,False,1979-01-22
EMP-00205,Emily Smith,2023-11-08,full_time,USA,FL,Sales_Representative,3533,nonexempt,True,Engineering,False,2000-06-15
EMP-00206,Chloe Johnson,2019-08-26,full_time,USA,TX,HR_Specialist,5053,nonexempt,True,HR,False,1980-04-12
EMP-00207,Kevin Anderson,2023-06-20,full_time,USA,CA,Sales_Representative,11890,nonexempt,True,Operations,False,1988-05-02
EMP-00208,Olivia Baker,2019-02-26,full_time,USA,FL,Payroll_Administrator,12960,exempt,False,Sales,False,1985-01-15
EMP-00209,Emily Morris,2020-11-22,full_time,USA,CA,Analyst,8988,nonexempt,True,Sales,False,1999-10-16
EMP-00210,Noah White,2024-07-02,full_time,USA,NY,Analyst,7258,nonexempt,True,Engineering,False,1974-04-30
EMP-00211,Arjun Scott,2022-09-21,full_time,USA,IL,Software_Engineer,13786,exempt,False,Operations,False,1990-08-19
EMP-00212,Grace Carter,2020-05-24,full_time,USA,CA,Product_Manager,10984,exempt,False,HR,False,1993-07-07
EMP-00213,Aiden Parker,2018-05-31,full_time,USA,MA,HR_Specialist,11597,nonexempt,True,HR,False,1983-02-03
EMP-00214,Ava Garcia,2023-04-09,full_time,USA,MA,Software_Engineer,4377,exempt,False,HR,False,1967-08-12
EMP-00215,Priya Perez,2019-05-23,full_time,USA,CA,Product_Manager,12009,exempt,False,Finance,False,1966-07-01
EMP-00216,Priya Allen,2021-04-13,full_time,USA,WA,Software_Engineer,3737,exempt,False,Operations,False,1999-08-05
EMP-00217,Ava King,2024-01-31,full_time,USA,FL,Payroll_Administrator,4983,exempt,False,Sales,False,2000-11-01
EMP-00218,Amelia Rogers,2020-08-09,full_time,USA,FL,Payroll_Administrator,13246,exempt,False,Operations,False,1981-01-27
EMP-00219,Morgan Young,2018-11-29,full_time,USA,NJ,Operations_Manager,9038,exempt,False,Engineering,False,1973-05-10
EMP-00220,Maya Baker,2021-07-09,full_time,USA,CA,Analyst,13103,nonexempt,True,Engineering,False,1979-02-28
EMP-00221,Taylor Scott,2018-02-01,full_time,USA,CA,Product_Manager,5918,exempt,False,Finance,False,1989-01-21
EMP-00222,James Smith,2018-08-02,full_time,USA,TX,Operations_Manager,4696,exempt,False,Sales,False,2002-02-03
