emp_id,name,hire_date,employment_type,country,jurisdiction,role,base_monthly_pay,flsa_status,ot_eligible,department,is_ghost
EMP-00027,Ashley Graham,2023-09-17,part_time,Singapore,TX,Data_Analyst,6271,non_exempt,True,Legal,False
EMP-00028,Sherri Baker,2023-12-12,expatriate,France,FL,Finance_Analyst,8030,exempt,False,Finance,False
EMP-00029,Thomas Harrell,2022-12-07,contractor,Singapore,DE_national,Operations_Staff,3823,non_exempt,True,HR,False
EMP-00030,Lisa Hernandez,2025-04-03,full_time,India,CA,Data_Analyst,6602,non_exempt,True,Legal,False
EMP-00031,Paula Moreno,2021-06-12,part_time,US,NY,Data_Analyst,6724,non_exempt,True,Engineering,False
EMP-00032,Alec Hickman,2025-11-01,full_time,US,federal,Data_Analyst,6072,non_exempt,True,Legal,False
EMP-00033,Elizabeth Brown,2025-10-31,contractor,Singapore,FL,Data_Analyst,6552,non_exempt,True,HR,False
EMP-00034,Angelica Tucker,2021-10-15,expatriate,France,DE_national,Finance_Analyst,8126,exempt,False,Operations,False
EMP-00035,Pamela Anderson,2023-10-26,full_time,UK,UK_national,Data_Analyst,6362,non_exempt,True,Operations,False
EMP-00036,Deborah Brennan,2023-07-23,expatriate,US,NY,Operations_Staff,3762,non_exempt,True,Operations,False
EMP-00037,Joshua Blair,2022-06-13,full_time,France,FL,HR_Manager,6894,exempt,False,Legal,False
EMP-00038,Zachary Santos,2023-08-19,part_time,Australia,TX,Operations_Staff,3985,non_exempt,True,Operations,False
EMP-00039,Barbara Walker,2023-02-18,full_time,Singapore,NY,Data_Analyst,6051,non_exempt,True,Legal,False
EMP-00040,Crystal Robinson,2021-10-18,full_time,France,TX,Software_Engineer,8416,exempt,False,Operations,False
EMP-00041,Crystal Whitehead,2025-09-27,part_time,Australia,CA,Operations_Staff,3868,non_exempt,True,Operations,False
EMP-00042,David Caldwell,2022-07-07,expatriate,Canada,DE_national,Software_Engineer,8292,exempt,False,Operations,False
EMP-00043,Timothy Duncan,2023-10-22,expatriate,Germany,FL,Finance_Analyst,7603,exempt,False,HR,False
EMP-00044,Rhonda Lee,2021-12-04,full_time,India,CA,Software_Engineer,8051,exempt,False,Legal,False
EMP-00045,Jeff Owens,2025-02-01,part_time,US,NY,Operations_Staff,4571,non_exempt,True,HR,False
EMP-00046,Victoria Garcia,2023-06-16,full_time,France,UK_national,Software_Engineer,8122,exempt,False,Legal,False
EMP-00047,Scott Wright,2022-05-24,full_time,UK,UK_national,Data_Analyst,6673,non_exempt,True,Legal,False
EMP-00048,Javier Ramirez,2022-09-10,contractor,Canada,FL,Finance_Analyst,7985,exempt,False,Finance,False
EMP-00049,Jessica Callahan,2024-03-11,contractor,Australia,TX,Data_Analyst,6687,non_exempt,True,Finance,False
EMP-00050,Zachary Huff,2026-04-15,contractor,UK,CA,Operations_Staff,4169,non_exempt,True,Legal,False
EMP-00051,Sarah Martin,2023-11-14,full_time,UK,FL,Finance_Analyst,7818,exempt,False,Finance,False
EMP-00052,James Brown,2023-05-04,contractor,UK,FL,Data_Analyst,6378,non_exempt,True,Finance,False
EMP-00053,Mrs. Rachel Gibson,2023-07-23,expatriate,Canada,CA,Data_Analyst,6683,non_exempt,True,Legal,False
EMP-00054,Whitney Peters,2025-01-12,full_time,Germany,WA,HR_Manager,6818,exempt,False,Engineering,False
EMP-00055,Edward Novak,2024-05-03,part_time,Canada,WA,Finance_Analyst,7919,exempt,False,HR,False
EMP-00056,Nicole Brown,2024-05-12,part_time,Canada,DE_national,HR_Manager,6957,exempt,False,Engineering,False
EMP-00057,Sarah Moore,2026-03-31,expatriate,Canada,CA,Software_Engineer,8003,exempt,False,Finance,False
EMP-00058,Cody Larson,2024-10-25,contractor,Germany,DE_national,Data_Analyst,6564,non_exempt,True,Operations,False
EMP-00059,Bryan Zamora,2022-09-03,full_time,UK,NY,Finance_Analyst,8267,exempt,False,HR,False
EMP-00060,Lisa Barnes,2024-05-11,full_time,India,TX,Finance_Analyst,7740,exempt,False,HR,False
EMP-00061,Taylor Harris,2025-01-08,contractor,India,CA,Software_Engineer,8920,exempt,False,Finance,False
EMP-00062,James Powers,2022-12-10,part_time,UK,federal,Data_Analyst,6798,non_exempt,True,Legal,False
EMP-00063,Paul Jones,2023-09-25,part_time,France,TX,Operations_Staff,4699,non_exempt,True,HR,False
EMP-00064,Dr. Angel Lewis MD,2026-02-09,full_time,Germany,federal,Operations_Staff,4501,non_exempt,True,Operations,False
EMP-00065,Sherry Wood,2022-03-26,contractor,Germany,NY,Data_Analyst,6391,non_exempt,True,Engineering,False
EMP-00066,Michele Carr,2026-05-18,part_time,France,DE_national,Operations_Staff,4058,non_exempt,True,Finance,False
EMP-00067,Aimee Montoya,2022-12-09,part_time,US,FL,Data_Analyst,6408,non_exempt,True,Finance,False
EMP-00068,Teresa Taylor,2022-01-07,full_time,Canada,federal,HR_Manager,7356,exempt,False,Legal,False
EMP-00069,Juan Nelson,2024-06-19,contractor,US,NY,Operations_Staff,4598,non_exempt,True,Finance,False
EMP-00070,Christina Walters,2022-10-06,contractor,US,NY,Data_Analyst,6610,non_exempt,True,Operations,False
EMP-00071,Taylor Mathis Jr.,2023-07-24,contractor,Australia,NY,HR_Manager,7094,exempt,False,Legal,False
EMP-00072,Aaron Wise,2024-08-17,contractor,US,UK_national,Data_Analyst,6001,non_exempt,True,Legal,False
EMP-00073,Patrick Arnold,2023-07-31,part_time,India,UK_national,Finance_Analyst,7371,exempt,False,Finance,False
EMP-00074,Benjamin Ware,2025-12-17,contractor,UK,WA,Finance_Analyst,7819,exempt,False,Finance,False
EMP-00075,Sandra Aguilar,2022-03-08,contractor,Australia,WA,Operations_Staff,4267,non_exempt,True,HR,False
EMP-00076,Eric Nolan,2025-06-03,expatriate,Australia,TX,Data_Analyst,6630,non_exempt,True,Legal,False
EMP-00077,Stephanie Clark,2022-09-09,expatriate,US,WA,HR_Manager,6993,exempt,False,HR,False
EMP-00078,Richard Henson,2023-06-23,contractor,Singapore,DE_national,Operations_Staff,4152,non_exempt,True,HR,False
EMP-00079,Brittany Spears,2025-10-06,expatriate,Germany,NY,Finance_Analyst,7590,exempt,False,Legal,False
EMP-00080,Rita Keith,2021-07-26,contractor,UK,FL,Finance_Analyst,7988,exempt,False,Finance,False
EMP-00081,Evelyn Galvan,2025-06-14,part_time,Germany,CA,Data_Analyst,6047,non_exempt,True,HR,False
EMP-00082,Rita Adams,2025-05-18,full_time,Singapore,UK_national,Operations_Staff,4607,non_exempt,True,Legal,False
EMP-00083,Shane Garrison,2022-07-22,expatriate,Singapore,UK_national,Data_Analyst,6249,non_exempt,True,HR,False
EMP-00084,Julia Torres,2025-06-02,full_time,Australia,FL,Software_Engineer,8180,exempt,False,Legal,False
EMP-00085,Alexander Lee,2023-01-31,full_time,France,NY,Operations_Staff,4167,non_exempt,True,HR,False
EMP-00086,Tracy Ramirez,2024-08-25,contractor,Singapore,UK_national,Operations_Staff,4550,non_exempt,True,Legal,False
EMP-00087,William Herrera,2026-02-20,part_time,Singapore,DE_national,Operations_Staff,3965,non_exempt,True,HR,False
EMP-00088,Wesley White,2026-04-03,expatriate,France,WA,HR_Manager,7150,exempt,False,Engineering,False
EMP-00089,Brian Hamilton,2025-01-31,part_time,Canada,federal,HR_Manager,7027,exempt,False,Legal,True
EMP-00090,Larry Dixon,2023-05-15,part_time,Germany,FL,Software_Engineer,8392,exempt,False,HR,False
EMP-00091,Dawn Fletcher,2021-06-14,full_time,Australia,UK_national,Data_Analyst,6338,non_exempt,True,Legal,False
EMP-00092,Kimberly Ball,2025-02-24,expatriate,US,FL,Operations_Staff,4552,non_exempt,True,Operations,False
EMP-00093,Helen Jones,2024-10-05,full_time,Australia,DE_national,Operations_Staff,3706,non_exempt,True,Finance,False
EMP-00094,Erik Charles,2025-01-15,expatriate,Australia,FL,HR_Manager,7199,exempt,False,HR,False
EMP-00095,Eric Ortiz,2023-06-15,expatriate,Singapore,CA,HR_Manager,7098,exempt,False,Finance,False
EMP-00096,Cameron Fisher,2026-02-22,part_time,Singapore,TX,Operations_Staff,4337,non_exempt,True,Legal,False
EMP-00097,Stephanie Gilbert,2022-12-12,expatriate,US,NY,Software_Engineer,8658,exempt,False,Operations,False
EMP-00098,April Mitchell,2023-08-04,expatriate,Germany,CA,Data_Analyst,6266,non_exempt,True,Operations,False
EMP-00099,Mary Marshall,2023-08-27,part_time,Singapore,federal,HR_Manager,7045,exempt,False,Operations,False
EMP-00100,John Santana,2025-06-03,expatriate,Canada,NY,HR_Manager,7181,exempt,False,Engineering,False
EMP-00101,Bradley Robertson,2024-08-09,full_time,India,FL,Finance_Analyst,7965,exempt,False,Engineering,False
EMP-00102,Robert Potter,2024-10-21,full_time,France,FL,Software_Engineer,8859,exempt,False,Engineering,False
EMP-00103,Curtis Johnson,2022-09-01,part_time,France,TX,Finance_Analyst,7784,exempt,False,Engineering,False
EMP-00104,Samuel Jones,2023-07-07,part_time,Singapore,WA,Finance_Analyst,8085,exempt,False,Finance,False
EMP-00105,Cheyenne Horton,2023-11-30,full_time,Germany,WA,Data_Analyst,6110,non_exempt,True,Legal,False
EMP-00106,Matthew Smith,2025-03-13,contractor,Australia,UK_national,Software_Engineer,8964,exempt,False,HR,False
EMP-00107,Ashley Coleman,2022-04-28,part_time,UK,WA,Software_Engineer,8870,exempt,False,Legal,False
EMP-00108,Kelly Williams,2022-09-09,full_time,India,UK_national,Software_Engineer,8677,exempt,False,Finance,False
EMP-00109,Joyce Solis,2024-10-11,contractor,US,UK_national,Software_Engineer,8842,exempt,False,Operations,False
EMP-00110,Linda Dodson DVM,2024-07-03,expatriate,India,DE_national,Software_Engineer,8724,exempt,False,HR,False
EMP-00111,Kathy Rivas,2024-03-07,part_time,Canada,DE_national,Operations_Staff,4176,non_exempt,True,Operations,False
EMP-00112,Natasha Wells,2022-09-27,contractor,India,FL,Finance_Analyst,8150,exempt,False,Engineering,False
EMP-00113,Mark Cannon,2024-01-18,expatriate,France,DE_national,HR_Manager,7283,exempt,False,Legal,False
EMP-00114,Denise Jones,2022-11-14,contractor,US,DE_national,Operations_Staff,4571,non_exempt,True,Finance,True
EMP-00115,Francisco Fernandez,2022-02-18,expatriate,France,federal,Data_Analyst,6816,non_exempt,True,Finance,False
EMP-00116,Michael Mccarthy,2021-10-06,contractor,Canada,CA,HR_Manager,7229,exempt,False,HR,False
EMP-00117,Joshua Perry,2022-06-23,part_time,Australia,DE_national,Software_Engineer,8568,exempt,False,HR,False
EMP-00118,Taylor Silva,2024-12-02,expatriate,Singapore,CA,Operations_Staff,3795,non_exempt,True,Finance,False
EMP-00119,Pamela James,2021-06-21,expatriate,France,WA,Data_Analyst,6679,non_exempt,True,Legal,False
EMP-00120,Paul Castaneda,2026-03-17,expatriate,India,UK_national,HR_Manager,7463,exempt,False,Legal,False
EMP-00121,Paul Payne,2024-06-16,contractor,Singapore,WA,HR_Manager,7013,exempt,False,Finance,False
EMP-00122,Daniel Graham,2021-08-02,full_time,France,federal,Data_Analyst,6122,non_exempt,True,Legal,False
EMP-00123,Michael Powell,2022-04-08,part_time,France,DE_national,Data_Analyst,6283,non_exempt,True,Legal,False
EMP-00124,Cameron Dean,2021-07-30,contractor,UK,FL,Finance_Analyst,7603,exempt,False,HR,False
EMP-00125,Justin Johnson,2024-08-27,part_time,Canada,CA,HR_Manager,7425,exempt,False,Legal,False
EMP-00126,Joel Williams,2023-05-04,contractor,US,CA,Data_Analyst,6566,non_exempt,True,Finance,False
EMP-00127,Gabriel Juarez,2023-05-04,expatriate,UK,CA,Data_Analyst,6587,non_exempt,True,Finance,False
EMP-00128,Sandra King,2021-11-07,expatriate,Singapore,federal,Operations_Staff,3888,non_exempt,True,Engineering,False
EMP-00129,Joshua Cooke,2023-03-12,expatriate,UK,NY,HR_Manager,7110,exempt,False,Operations,False
EMP-00130,Rachael Pearson,2025-03-19,full_time,Germany,TX,Software_Engineer,8830,exempt,False,Legal,False
EMP-00131,Christina Smith,2022-03-16,full_time,France,NY,HR_Manager,7271,exempt,False,Operations,False
EMP-00132,Michael Elliott,2022-07-14,part_time,Australia,DE_national,Finance_Analyst,8230,exempt,False,Operations,False
EMP-00133,Pamela Jackson,2024-06-23,expatriate,Canada,CA,HR_Manager,7324,exempt,False,Engineering,False
EMP-00134,Ashley Weiss,2026-04-07,part_time,Canada,NY,Data_Analyst,6160,non_exempt,True,HR,False
EMP-00135,Alexander Collins,2024-10-29,full_time,Germany,CA,Data_Analyst,6418,non_exempt,True,Operations,False
EMP-00136,Jennifer Espinoza,2021-10-27,expatriate,Canada,CA,Finance_Analyst,7537,exempt,False,Finance,False
EMP-00137,Lori Garcia,2025-04-21,expatriate,UK,FL,HR_Manager,7646,exempt,False,Finance,False
EMP-00138,Lindsay Martinez,2026-05-12,part_time,Australia,NY,Finance_Analyst,7857,exempt,False,HR,False
EMP-00139,Hannah Patterson,2023-04-18,contractor,Germany,NY,Data_Analyst,6061,non_exempt,True,HR,False
EMP-00140,Gloria Atkinson,2025-07-21,contractor,Singapore,NY,HR_Manager,7179,exempt,False,Finance,False
EMP-00141,Tyler Reid,2025-08-02,contractor,Singapore,DE_national,Operations_Staff,3782,non_exempt,True,Legal,False
EMP-00142,Jessica Gross,2026-04-08,expatriate,India,WA,Software_Engineer,8026,exempt,False,Engineering,False
EMP-00143,Robert Medina,2023-11-10,full_time,Canada,CA,Data_Analyst,6781,non_exempt,True,HR,False
EMP-00144,Nicholas Adams,2025-09-13,expatriate,Canada,TX,Operations_Staff,4299,non_exempt,True,Operations,False
EMP-00145,Angelica Keith,2022-08-30,full_time,Singapore,federal,Operations_Staff,4118,non_exempt,True,Finance,False
EMP-00146,Leonard Gray,2021-08-02,full_time,Germany,federal,HR_Manager,7121,exempt,False,Operations,False
EMP-00147,Catherine Lewis,2025-06-06,expatriate,US,DE_national,HR_Manager,6790,exempt,False,Finance,False
EMP-00148,Spencer Haynes,2022-10-28,contractor,UK,UK_national,HR_Manager,7585,exempt,False,Legal,False
EMP-00149,Travis Miller,2025-01-15,expatriate,Australia,CA,Software_Engineer,8192,exempt,False,Legal,False
EMP-00150,Peter Vaughn DDS,2023-11-24,expatriate,Singapore,CA,HR_Manager,6908,exempt,False,Finance,False
EMP-00151,Anna Walker,2024-11-25,part_time,Canada,DE_national,Finance_Analyst,8201,exempt,False,Operations,False
EMP-00152,Kevin Kennedy,2024-02-05,full_time,France,TX,Software_Engineer,8318,exempt,False,Legal,False
EMP-00153,Patrick Rivera,2024-12-15,expatriate,UK,FL,Software_Engineer,8861,exempt,False,Engineering,False
EMP-00154,David Martinez,2022-05-28,full_time,Germany,DE_national,Operations_Staff,4655,non_exempt,True,Finance,False
EMP-00155,Joshua Gill,2022-05-15,contractor,Australia,DE_national,Finance_Analyst,7783,exempt,False,HR,True
EMP-00156,John Hardy,2026-04-29,part_time,Australia,FL,Operations_Staff,4643,non_exempt,True,Legal,False
EMP-00157,Diane Garcia,2022-05-31,part_time,UK,WA,Finance_Analyst,8091,exempt,False,Operations,True
EMP-00158,Christopher Smith,2024-02-11,contractor,US,WA,HR_Manager,7443,exempt,False,Finance,False
EMP-00159,William Tran,2024-12-05,expatriate,Germany,DE_national,Finance_Analyst,7851,exempt,False,Operations,False
EMP-00160,Sean Henry,2025-10-21,contractor,Australia,DE_national,HR_Manager,7655,exempt,False,Finance,False
EMP-00161,Julie Alexander,2022-05-13,part_time,Australia,FL,Data_Analyst,6876,non_exempt,True,Operations,False
EMP-00162,Todd Woods,2025-07-21,contractor,Singapore,UK_national,Software_Engineer,8395,exempt,False,HR,False
EMP-00163,Benjamin Soto,2021-09-16,full_time,Germany,federal,Operations_Staff,4590,non_exempt,True,Engineering,False
EMP-00164,Justin Torres,2026-05-30,full_time,Singapore,CA,Operations_Staff,4439,non_exempt,True,HR,False
EMP-00165,Phillip Obrien,2025-05-24,part_time,UK,DE_national,Operations_Staff,4500,non_exempt,True,Finance,False
EMP-00166,Joseph Hayes,2023-08-28,expatriate,UK,federal,HR_Manager,7572,exempt,False,Legal,False
EMP-00167,Wanda Torres,2024-07-18,contractor,Singapore,CA,Operations_Staff,4332,non_exempt,True,Engineering,False
EMP-00168,Natalie Meza,2022-06-25,contractor,France,NY,Data_Analyst,6444,non_exempt,True,Engineering,False
EMP-00169,Matthew Moore,2022-04-24,expatriate,Germany,WA,Software_Engineer,8925,exempt,False,Engineering,False
EMP-00170,Aaron Hayes,2024-05-30,contractor,US,WA,Software_Engineer,8367,exempt,False,Finance,False
EMP-00171,David Mann,2024-12-15,part_time,France,UK_national,Operations_Staff,4279,non_exempt,True,HR,False
EMP-00172,Michael Bradshaw,2025-05-19,part_time,UK,UK_national,Data_Analyst,6634,non_exempt,True,HR,False
EMP-00173,Mary Peck,2023-07-27,part_time,France,DE_national,Operations_Staff,4353,non_exempt,True,Finance,False
EMP-00174,Maria Kerr,2025-07-29,contractor,US,DE_national,Operations_Staff,4622,non_exempt,True,Finance,False
EMP-00175,Christopher Parker,2025-03-09,part_time,UK,DE_national,Finance_Analyst,8267,exempt,False,Finance,False
EMP-00176,Donna Martinez,2024-11-19,contractor,Australia,WA,Finance_Analyst,7767,exempt,False,Finance,False
EMP-00177,Terri Mason,2023-11-29,expatriate,Singapore,NY,Data_Analyst,6242,non_exempt,True,Operations,False
EMP-00178,Andrew Reynolds,2023-01-20,contractor,Canada,WA,Finance_Analyst,7322,exempt,False,Operations,False
EMP-00179,Brandon Hayden,2025-08-15,full_time,US,DE_national,HR_Manager,7552,exempt,False,Finance,False
EMP-00180,Tiffany Key,2024-10-20,contractor,France,FL,Data_Analyst,6635,non_exempt,True,Finance,False
EMP-00181,Andrew Avila,2023-10-18,full_time,US,WA,Data_Analyst,6807,non_exempt,True,Operations,False
EMP-00182,Sydney White,2024-05-14,contractor,Germany,NY,Software_Engineer,8931,exempt,False,Finance,False
EMP-00183,Katherine Davis,2023-03-08,expatriate,Germany,FL,HR_Manager,6835,exempt,False,Legal,False
EMP-00184,Michael Hodge,2023-02-03,contractor,Germany,WA,HR_Manager,7635,exempt,False,Operations,False
EMP-00185,Donna Landry,2025-07-05,contractor,UK,DE_national,HR_Manager,7686,exempt,False,Engineering,False
EMP-00186,Jordan Edwards,2023-01-22,part_time,Australia,federal,Data_Analyst,6092,non_exempt,True,Operations,False
EMP-00187,Jennifer Robertson,2026-05-20,contractor,UK,DE_national,Software_Engineer,8377,exempt,False,Finance,False
EMP-00188,Kimberly Gutierrez,2022-05-19,expatriate,India,NY,Finance_Analyst,7991,exempt,False,HR,False
EMP-00189,Peter Garrett,2025-03-29,full_time,India,FL,Operations_Staff,4363,non_exempt,True,Engineering,False
EMP-00190,Joshua Pennington,2023-08-19,contractor,Australia,NY,Operations_Staff,3843,non_exempt,True,Engineering,False
EMP-00191,Barbara Dudley,2024-06-26,contractor,Singapore,NY,Software_Engineer,8099,exempt,False,HR,False
EMP-00192,Christopher Pierce,2024-03-15,part_time,Australia,DE_national,Finance_Analyst,7679,exempt,False,Legal,False
EMP-00193,Willie Durham,2023-10-01,part_time,Australia,NY,Operations_Staff,4553,non_exempt,True,Operations,False
EMP-00194,Ronnie Jimenez,2025-01-09,expatriate,Canada,CA,Finance_Analyst,8006,exempt,False,Finance,False
EMP-00195,Denise Davenport,2026-05-05,expatriate,Singapore,FL,Data_Analyst,6875,non_exempt,True,Finance,False
EMP-00196,Juan Reyes,2026-01-19,contractor,India,CA,Software_Engineer,8407,exempt,False,Finance,False
EMP-00197,Sherry Shields,2022-10-28,full_time,Singapore,NY,Data_Analyst,6678,non_exempt,True,HR,False
EMP-00198,Jennifer Villa,2023-12-25,full_time,US,federal,Finance_Analyst,7549,exempt,False,HR,False
EMP-00199,Diane Evans,2024-05-17,part_time,UK,FL,Finance_Analyst,7900,exempt,False,HR,False
EMP-00200,Mrs. Brittany Ryan MD,2024-03-14,contractor,Germany,CA,Data_Analyst,6283,non_exempt,True,HR,False
EMP-00201,Jordan Morris,2022-05-21,contractor,Germany,NY,Data_Analyst,6676,non_exempt,True,Engineering,False
EMP-00202,Laura Hall,2025-04-27,full_time,India,FL,Data_Analyst,6602,non_exempt,True,Finance,False
EMP-00203,Patrick Thornton,2025-07-01,part_time,Canada,CA,Software_Engineer,8129,exempt,False,Operations,False
EMP-00204,Matthew Hoover,2026-05-06,full_time,UK,DE_national,Finance_Analyst,7759,exempt,False,Finance,False
EMP-00205,Andrew Shaw MD,2025-10-16,full_time,Singapore,FL,Finance_Analyst,8268,exempt,False,Legal,False
EMP-00206,Jessica Fox,2023-09-23,contractor,Singapore,CA,Software_Engineer,8062,exempt,False,Operations,False
EMP-00207,Jennifer Pena,2022-03-19,expatriate,UK,DE_national,Operations_Staff,4429,non_exempt,True,Operations,False
EMP-00208,Wayne Morgan,2024-11-26,full_time,India,TX,Software_Engineer,8067,exempt,False,HR,False
EMP-00209,Sarah Phelps,2025-09-27,contractor,Australia,WA,HR_Manager,7164,exempt,False,Legal,False
EMP-00210,Eugene Higgins,2025-03-28,expatriate,UK,NY,Finance_Analyst,8173,exempt,False,Legal,False
EMP-00211,Amanda Jones,2024-08-06,expatriate,Singapore,FL,Data_Analyst,6423,non_exempt,True,Finance,False
EMP-00212,Yolanda Francis,2023-08-12,expatriate,Australia,NY,Operations_Staff,4020,non_exempt,True,Operations,False
EMP-00213,Mark Brennan,2023-08-30,contractor,India,TX,HR_Manager,7403,exempt,False,Operations,False
EMP-00214,Stephanie Williams,2025-06-03,full_time,UK,NY,Software_Engineer,8442,exempt,False,Engineering,False
EMP-00215,James Thomas,2024-02-05,part_time,US,federal,HR_Manager,7386,exempt,False,Engineering,False
EMP-00216,Rebecca Jackson,2021-11-02,contractor,Australia,CA,Operations_Staff,4691,non_exempt,True,Finance,False
EMP-00217,Lisa Allen,2026-01-02,contractor,India,NY,Finance_Analyst,7891,exempt,False,Legal,False
EMP-00218,Joel King,2022-09-20,part_time,Singapore,FL,Data_Analyst,6867,non_exempt,True,Engineering,False
EMP-00219,Robert Santana,2024-10-30,contractor,UK,WA,HR_Manager,7287,exempt,False,HR,False
EMP-00220,Jeremy Reed,2024-05-18,full_time,Canada,CA,Operations_Staff,3884,non_exempt,True,Finance,False
EMP-00221,Jessica Wright,2025-09-01,contractor,India,CA,HR_Manager,6885,exempt,False,HR,False
EMP-00222,James Webb,2022-08-18,expatriate,UK,TX,Finance_Analyst,8058,exempt,False,Engineering,False
EMP-00223,Laura Haney,2022-12-02,part_time,Australia,UK_national,Software_Engineer,8464,exempt,False,Finance,False
EMP-00224,Mary Hill,2024-04-09,contractor,Canada,federal,Data_Analyst,6795,non_exempt,True,Legal,False
EMP-00225,Natasha Williams,2024-06-22,full_time,US,TX,Finance_Analyst,7461,exempt,False,Legal,False
EMP-00226,Tanner Mitchell DDS,2024-06-23,full_time,Canada,DE_national,Software_Engineer,8677,exempt,False,Operations,False
EMP-00227,Mark Oliver,2024-10-30,expatriate,Australia,WA,Operations_Staff,3920,non_exempt,True,Legal,False
EMP-00228,Mary Massey,2024-08-01,contractor,Australia,NY,Software_Engineer,8290,exempt,False,Legal,False
EMP-00229,Maria Parker,2023-08-24,contractor,US,FL,Operations_Staff,4104,non_exempt,True,Legal,False
EMP-00230,Morgan Davis,2022-12-01,full_time,France,WA,Software_Engineer,8968,exempt,False,HR,False
EMP-00231,Casey Anderson,2024-02-20,contractor,Canada,federal,Data_Analyst,6122,non_exempt,True,Engineering,False
EMP-00232,Kiara Mcintyre,2025-08-05,expatriate,Germany,TX,Operations_Staff,4089,non_exempt,True,Legal,False
EMP-00233,Roger Olson,2025-06-22,contractor,UK,UK_national,Data_Analyst,6882,non_exempt,True,Engineering,False
EMP-00234,Gina Wilson,2026-04-04,full_time,Singapore,NY,Operations_Staff,4582,non_exempt,True,Finance,False
EMP-00235,Vincent Dalton,2025-01-23,expatriate,Australia,UK_national,Finance_Analyst,7596,exempt,False,Engineering,False
EMP-00236,Tracy Ballard,2023-04-09,full_time,India,TX,Operations_Staff,4520,non_exempt,True,Legal,False
EMP-00237,Alexis Herrera,2023-09-19,contractor,UK,UK_national,Operations_Staff,4564,non_exempt,True,Engineering,False
EMP-00238,Megan Richards,2025-07-21,expatriate,Australia,NY,Data_Analyst,6405,non_exempt,True,Finance,False
EMP-00239,Ashley Hall,2021-07-26,part_time,India,TX,HR_Manager,6778,exempt,False,Legal,False
EMP-00240,Kristina Herman,2022-07-20,part_time,India,federal,Software_Engineer,8744,exempt,False,HR,False
EMP-00241,Rodney Blankenship,2022-12-14,full_time,Germany,WA,Data_Analyst,6202,non_exempt,True,HR,False
EMP-00242,Charles Shah,2022-12-18,part_time,UK,TX,Finance_Analyst,8274,exempt,False,Operations,False
